,mkt_beta,smb_beta,hml_beta,wml_beta
A,0.944936450727031,0.049798879834467055,-0.16235002398390352,-0.08652377693322644
AAPL,1.1665557190865696,-0.277021139751402,-0.3668371727753632,0.038057766874328006
ABBV,0.6224313773174551,-0.2842013408224381,0.12367876886573406,0.04940690806763358
ABT,0.7819884351165028,-0.3017204625037696,-0.1412240283069553,-0.03367093145227697
ADBE,1.2600575847870268,-0.21768487070676382,-0.6649457605217164,0.05103557965138565
ADI,1.2298302344250396,0.23739159498037948,-0.0998561739496811,0.0017000335696299822
ADM,0.811168534455484,-0.11953262094766512,0.6196860610102095,0.019112820628228125
ADP,0.9558333401807144,-0.1876858303293479,0.1308426053724095,-0.03071464858899824
ADSK,1.300358747724963,0.23645892351248493,-0.47581272404400277,-0.10967358867651328
AEE,0.5857232109939203,-0.3428609826504029,0.20644727859474638,-0.009960481686795558
AEP,0.4992966702710254,-0.3529429237600452,0.17614117217280198,-0.06499508634951942
AES,0.9760073519235115,0.37033438811268266,0.32852936749669137,-0.14746739002395354
AFL,0.9297796490321805,-0.15249531850754047,0.7340517098142701,0.004826600362086014
AIG,1.1949043303600462,-0.021227981568487854,0.9849869544520852,-0.06477606495902316
AIZ,0.8186458766808395,0.03643298823264732,0.5792796369212116,0.06208344646342107
AJG,0.8285570390474073,-0.289822413161242,0.18197107898139064,0.06410454331950305
AKAM,0.7655115068632145,-0.0790635539107522,-0.2395989255995721,-0.006137133885335917
ALB,1.2668273035073963,0.7719421402524528,0.22920616408940792,-0.15030851935770584
ALGN,1.3695391645020865,0.615677545126738,-0.4091908760346307,-0.27146156743961375
ALL,0.8100743752911309,-0.22771719797787549,0.58169171041776,0.06051694859767642
AMAT,1.5935907964072686,0.18618114908172306,-0.3010558292044816,0.10649770222403536
AMD,1.6133854003916708,0.18323021770139197,-0.7554527503682368,0.08473207262824571
AME,1.0120935016885462,-0.027886490767059586,0.31164781073355396,0.007103487713158262
AMGN,0.6879756505291801,-0.12255646353280916,0.05913392975497844,0.08496755108514709
AMP,1.4895023148850925,-0.06180594237505754,0.7392434223764431,-0.03246970568829803
AMT,0.7273606715689229,-0.246539561142098,-0.05947286944861356,-0.091550766697987
AMZN,1.141764633373686,-0.19990250281393057,-0.7398247797166175,-0.07411208553978833
ANET,1.266271890340787,0.058186218136638546,-0.4397552254302075,0.14295630037700208
ANSS,1.1942343016849248,0.010358529562286244,-0.5821479283446802,-0.022711295543424985
AOS,0.8373522856539979,0.2585207205614221,0.20831824902882967,-0.0972695721990705
APA,1.518476505011538,0.3082425650163272,1.4785751680593422,-0.2700078992075978
APD,0.8702656212101745,-0.208112573175173,0.2121433186987218,-0.045407316500066484
APH,1.0707570483137965,0.13696372075266444,0.0451318203363791,0.03880801045998788
APO,1.344927380067034,0.11462345054303769,0.26554413106305913,-0.04774070876840486
ARE,0.8447481365581454,0.18016722949217945,0.09190781127430009,-0.11490797799783417
AWK,0.6287150644184093,-0.24844424857674033,-0.0038037677639240607,-0.06610695704148757
BALL,0.7955133760685349,-0.013558009028540069,-0.019560774349602638,-0.06896502165134297
BDX,0.5723374264698803,-0.2018859518850074,0.01987328095724689,-0.01677841067200105
BK,1.0212222517339633,-0.04914667678096334,0.7142484936718512,-0.1165402343297155
BKNG,1.0977167481561572,0.017579204348574858,0.15477982211557956,-0.15419854441130307
BLDR,1.4444873949481338,1.1097626820980482,0.423370533616364,0.04800695786327009
BMY,0.4991251428113338,-0.07578611954902006,0.11492803805796717,-0.01321909100552179
BR,0.834665557600579,-0.16828263048871928,-0.05258101974909236,-0.04789691531894101
BRO,0.8544559264340528,-0.18077358921919542,0.13023468870966332,0.04850785045964462
BSX,0.8804750622494397,-0.14056762676930082,0.0610516586675748,-0.007166210718821829
BWA,1.0418965739837593,0.5246913938789385,0.5819461145007483,-0.11885985368935739
BX,1.3626174252174312,0.2995947132174068,0.01648130480597208,-0.17599587380185927
BXP,0.9576185353127777,0.4339106503553304,0.6161197050830944,-0.2856774576131651
C,1.3024283417421907,0.0255684751106782,1.0049969392208675,-0.1706485377648182
CAG,0.4080359623137113,-0.16606432505530047,0.23044221122623204,0.01954663409457502
CAH,0.7274362829570384,-0.17147176003355202,0.350954527765674,-0.016745028800974726
CBRE,1.1612322084664037,0.28258074035702874,0.4052880221622088,-0.2422740000784004
CCI,0.6903500443990831,-0.17104003679710017,-0.02466572804414792,-0.09122465661657758
CDNS,1.2316922922158553,-0.026696332573511346,-0.5911985721619297,0.18153809357229883
CDW,1.0829349648592197,0.13838756958456624,0.15633508263325654,-0.0014497620150339622
CE,1.1324894574414412,0.35957817540253656,0.642103341344639,-0.2116791505458053
CF,0.9539592924053404,0.25545490616253647,0.8300331587930172,0.01555672299164325
CFG,1.3470378440987711,0.47145897728225483,1.364872598367983,-0.15536837764546702
CHD,0.41005910612875424,-0.370205081472879,-0.07346777957759668,0.04233103326987156
CHRW,0.6076021045947275,0.04748282362179913,0.14710953302763574,-0.10344199169740831
CHTR,0.7952582513257227,0.007952124892120271,-0.06454345533380308,-0.1273832879729818
CI,0.845054098635512,-0.27942628134893877,0.39978466428237114,0.022943732238511937
CINF,0.9849643179106643,-0.2379506841063933,0.6993592590870696,-0.04027358120981787
CL,0.5074454211546939,-0.4175608707173211,0.07594356775908694,0.02089016158882819
CLX,0.3188200067752799,-0.19708309571525529,-0.08805672214714746,0.05574853772698664
CMCSA,0.8242691433342455,-0.1196824148878554,0.18783272331312945,-0.13964227861382972
CME,0.7072493304349694,-0.30165947806566973,0.2763638688491355,0.04335839874507183
CMG,0.8798508361665905,0.15238586374626395,-0.37576964319633055,0.05028110900243468
CMI,0.9048538051421244,0.14468042266483722,0.5310473088488322,-0.03453272969695337
CMS,0.5002074741990907,-0.3439340570410382,0.18214688847718802,-0.054627061421152784
CNC,0.8271615194017381,-0.15554963277577444,0.19921264077171366,0.01690889043162406
CNP,0.8073162164882275,-0.23299523802951644,0.4220884093881048,-0.0645714766011725
COF,1.3798211366147948,0.2476848558066923,0.9878166601616956,-0.20349669715826277
COO,0.8161654514225031,0.04746477212525041,-0.13884767084963479,-0.15627987983480449
COP,1.1220616136262367,-0.018147818934739657,1.1485008031025867,-0.040602901321809784
COR,0.6726517818289366,-0.21076742487403538,0.2848917881592773,0.052596866557739874
COST,0.745957175477586,-0.2693498952496466,-0.22828356896342106,0.07603532332861528
CPB,0.300469247131686,-0.2699161988593183,0.18007046774699959,0.07736324283585955
CPRT,0.9896743258375252,0.08923724280341093,-0.13957864595643335,3.0141188562678514e-05
CRL,1.1013083891182525,0.5206491288073132,-0.17315341911910537,0.04873943179016255
CRM,1.209632394919589,0.017252646351087142,-0.566120427111942,0.0033654182231392608
CSCO,0.9383350885952978,-0.2148010691549409,0.09611996363839309,-0.019149168483806052
CSGP,0.9573311732910151,0.17980014127382754,-0.3240386350184825,-0.1032008599275964
CSX,1.0174045459511736,-0.045210709729148306,0.41011440149457923,-0.025604248734011133
CTAS,1.0489439159320049,-0.11820072357200431,0.1601437858962106,0.013039440785792073
CTRA,0.7890833344042129,0.08029908851194835,0.7273348948970229,0.047148486357659385
CTSH,1.0311714273692973,-0.010352371913520626,0.12334893039735478,-0.04325391654726779
CVS,0.7048102068741326,-0.21897669861171215,0.4377358681491609,-0.07397642389873699
CVX,0.9851942708529813,-0.12727172836764364,0.9062482061861112,-0.057597646354203204
CZR,1.8064250537765396,1.0882984887529004,0.32372465903894776,-0.3459490691959568
D,0.5658566537921224,-0.3597364190078409,0.23306293386691818,-0.07541899263757407
DAL,1.2133084902562574,0.44456205754604966,0.6536740908255918,-0.24958388392297964
DE,0.9709004821634717,0.23313500348174845,0.5748266577569198,0.07369296378561321
DECK,1.0990653389726361,0.6413954981560762,-0.04742124578179772,0.05350746597068555
DELL,1.2017548201263788,0.03823007839813483,0.10870212177155873,0.2026142151561403
DFS,1.4684322513541366,0.28861770318652136,1.0319059966450208,-0.10492055834779707
DG,0.518993923148636,0.0396882660754539,-0.08509715361295617,0.035638843871877074
DGX,0.5989439084058759,-0.018565324874483896,0.09690322183955266,0.013657002197261967
DHI,1.0573299928368582,0.5613223506714468,0.0585612204440337,0.05326494918834566
DHR,0.8085737759723741,-0.10218927827739846,-0.2646333228751366,-0.044095388297784685
DIS,0.9408903632190799,-0.0091858059101622,0.14663582905992062,-0.29536644755289876
DLR,0.7713713194755536,-0.21510880510082767,-0.23900673650222581,-0.05374067408625784
DLTR,0.703940801891322,0.12657344593745778,0.14137739026152923,-0.04375496055348466
DOC,0.8443550925720066,0.10188544328460124,0.3246082194391492,-0.16772902246650442
