,mkt_beta,smb_beta,hml_beta,wml_beta
A,1.1289707276207313,0.20768233653562046,-0.2572030438394812,-0.09956971092455165
AAL,1.3259253310598604,0.7267135870777818,0.761725779039253,-0.44067968091511256
AAP,0.7957983609305379,0.3244476759912338,0.22018591479508903,-0.05075760181943945
AAPL,1.1504089357053875,-0.14955773159767233,-0.45347561522980917,0.034337141087584365
ABBV,0.6535523792247835,-0.26447551659189505,0.11016081366558345,0.0688863287071873
ABNB,1.3415068840773667,0.4418386143904478,-0.3128961958008112,-0.27668544602779177
ABT,0.6961205212680845,-0.2966653115397969,-0.15026580734284053,0.033195050608170656
ACGL,0.7261120679113227,-0.018640868271358503,0.5887622201033342,0.10203122072443928
ACN,0.962954507225756,-0.06996046202540507,-0.14460213825976953,-0.038688474781464845
ADBE,1.3014085176173318,-0.07635186858729645,-0.6845469577734665,-0.035600525986914586
ADI,1.2228124055658316,0.2656634177777185,-0.34227806239685626,-0.09634676314524526
ADM,0.8305231973534828,-0.15729857635738845,0.5104336591102849,0.06580596469855055
ADP,0.8773048137258135,-0.14192214826655236,0.06183790893588326,0.002933024815873088
ADSK,1.2647985987951131,0.37118361704325353,-0.42085252901296644,-0.1036736846569001
AEE,0.6070596010847984,-0.33172964835682417,0.2209269315790625,0.05774879097825464
AEP,0.5622904574329384,-0.3784280330722435,0.1825480328632883,0.008535654522820315
AES,1.0739885433307321,0.1912305328093059,0.33197632308435177,-0.14203737548138562
AFL,1.0678800020202748,-0.2077123198164123,0.8355967724079844,-0.06655731896160404
AIG,1.3517791306074671,-0.2932998780638159,1.1268571672401908,-0.21021410402963597
AIT,1.0086771431261012,0.895061010776821,0.6613142734185955,0.11598822320804668
AIV,1.0376526747243826,0.2534262732498504,0.6497247405127513,-0.16014421139527263
AIZ,0.925780500275431,-0.07443231600953872,0.613233530527989,0.01693501084809702
AJG,0.7279913035948733,-0.09999331116461596,0.21745523559458255,0.08302481038887805
AKAM,1.178068824476898,0.2342404919530614,-0.4615523833627677,-0.0831930681976969
ALB,1.1826303642460791,0.5832260558984453,0.25263122205997113,-0.10229712963654042
ALGN,1.2600598274253292,0.7549938413636651,-0.41436667809915934,-0.20101312571065275
ALK,1.1187135161848196,0.6802923989048512,0.6458776155439785,-0.2048426958109733
ALL,0.9279078872169202,-0.27602430770881936,0.6710620512679009,0.01709816045688976
ALLE,0.9555243825369089,0.1781939326990246,0.22577034622491796,-0.1280083470730646
AMAT,1.448444788553247,0.2344716646908467,-0.443838119535774,-0.05567928809520316
AMCR,0.6511768249554547,0.037727186343795654,0.2938746067575517,-0.11282665824348564
AMD,1.5592836783189652,0.33361860543288413,-0.7028333830074154,-0.17236439950561366
AME,0.9718499989218761,0.16270970561338233,0.25650046914304303,0.025812233730546044
AMG,1.3585071406536149,0.37255481616677766,0.597626996807479,-0.22015207120053032
AMGN,0.7932217578177638,-0.14713890609202035,-0.13190171285684352,0.12506758675492957
AMT,0.8935437981007344,-0.08340473567029347,-0.10749244115592368,-0.0819718428914332
AMZN,1.2349964216265668,-0.04384549855215528,-0.7967819778413465,-0.0834425433570207
AN,0.9656192577230114,0.6529951250669599,0.5556680643100205,-0.12229019237311937
ANET,1.2682241665503682,0.07206569682356583,-0.44879081278614763,0.14489278840951267
ANF,1.1239898384621023,0.8641176314584187,0.3126365926144038,-0.2526178792549444
ANSS,1.0815519743102682,0.2926115090346605,-0.42361592635394163,-0.009229450790064982
AON,0.7609924345216613,-0.24627301033219193,0.15099820733831404,0.044623776196122296
AOS,0.8794485820029707,0.4440405057815069,0.2845082692835198,-0.04084600870376008
APA,1.217028508770193,0.4020722609520386,1.1407351108246884,-0.08431755784670988
APD,0.9202471192839389,-0.17528067027903632,0.19620530583856133,-0.02366703131578647
APH,1.0972352990438408,0.25768430445696755,-0.048401446032939215,-0.028020883456087012
APO,1.3000889214575688,0.10338222548092155,0.24592895901976825,-0.05322364772398159
APTV,1.3386862711798062,0.6308941761319944,0.3295544553736649,-0.14164888468185977
ARE,0.9008423984108481,0.2586518965776645,0.32920600519516624,-0.10608914327952426
ASH,1.0038137107370928,0.3036604458377903,0.5051070719481062,-0.0340569989288792
ATGE,0.7513876951928904,0.6467611075595893,0.21655139471807178,0.08476385522440025
ATO,0.5774603857815437,-0.039785935798095994,0.2508935303640159,0.07096989846810703
AVB,0.8548847631150349,0.05804195259755482,0.47663707271110306,-0.13956426624598395
AVGO,1.354917756809991,0.08387195603827798,-0.2721518385952223,0.1961181731977006
AVY,0.9531582849533923,0.0037581255290024887,0.30459875973129713,-0.050732081781666306
AWK,0.596762700947661,-0.19444191418974216,-0.037822601808594036,0.011092333215002553
AXON,1.158131715504949,0.7578711641373816,-0.18285710307711564,0.02452337504564122
AXP,1.2674549557355523,-0.16886630379341738,0.6318683346975251,-0.21866845734124216
AYI,1.0920316811912942,0.6640281019176695,0.47832654530682267,-0.023212674108536918
AZO,0.6909021400691311,-0.08791171137447078,0.13522338318203656,0.09042038261595639
BA,1.0936624217174482,0.1991589620432599,0.37768587030178824,-0.130077862980413
BAC,1.3766542997696884,-0.3116604900174724,1.2694472711537532,-0.3318615569197558
BALL,0.8029042329164764,-0.008865624194940108,0.04775735665784071,-0.018229206437663202
BAX,0.6307886002172272,-0.19127859368448036,0.012757103655137724,0.010148562143008306
BBWI,1.1417512329894728,0.5056003714808496,0.3842547981099858,-0.2233026586214448
BBY,1.0632453043664067,0.3806416382077905,0.03492850909496499,-0.16299584256191557
BC,1.3683681389235214,0.8996496919928689,0.6160224843248543,-0.17518334199971453
BDX,0.5787677338249604,-0.10922351483170278,-0.018232801934043516,0.07103647346782918
BEN,1.2246289986627128,0.168211948602783,0.5450208547840405,-0.24048421270816248
BG,0.7747756049482635,0.12190361076183093,0.518133497654578,0.08087918040882597
BHF,1.6475655495521004,0.4157701816837875,1.2625200193698396,-0.2019868798405968
BIIB,0.9479381531220001,0.18523255856857876,-0.37041132794161846,0.1137484377273462
BIO,0.7644788024187943,0.2936342132597417,-0.22163378991748717,-0.02404128096881257
BK,1.1994024688661162,-0.2607309481669079,0.7804931674233325,-0.14044859691906242
BKNG,1.1755016633649902,0.28623908228803396,-0.15201905937330482,-0.13865170942165306
BKR,1.0972390958795906,0.18024466621289717,0.8942331757751159,0.00511797885904316
BLDR,1.59274336214839,1.282331229171633,0.519904148692404,0.00726133607792008
BLK,1.1568903116492097,0.06561387632007326,0.3341495467089305,-0.02596011557998934
BMY,0.6110481255712773,-0.1996673545260056,0.045001640776052024,0.021837875927586167
BRO,0.7729098054722312,-0.004543873312311584,0.18391847166914455,0.05773623679797955
BSX,0.9187611999285707,-0.05928073907839696,0.04167525899096584,0.014372328676832025
BWA,1.080454710216301,0.48762169392133065,0.5198232471542781,-0.14314290900354343
BX,1.3737356580939744,0.21629680056332706,0.06506698486526681,-0.21797270965865836
BXP,0.9500523531146167,0.36581128056433065,0.7198835037134956,-0.24234173276367968
C,1.4588060652112895,-0.26227558805873463,1.1611064189169098,-0.3662831827086793
CAG,0.4230731272199476,-0.1332995074581385,0.19419336930325992,0.054889684983134276
CAH,0.7170805476649508,-0.09223591607990818,0.22663583958429634,0.0021770707547098724
CAR,1.5281779756804594,1.1270813186499582,0.7744003637344438,-0.39123687777048105
CARR,1.0219774088033793,0.3695991303233224,0.253526009915701,-0.015040608121111078
CAT,1.0513081253339829,0.196969503820299,0.5552412145088088,-0.032174587201567496
CB,0.8981448767253177,-0.256582765963737,0.606612658327889,0.03678311161964211
CBOE,0.5482879420026987,-0.10550870574175607,0.14033038731238218,0.052631209347164386
CBRE,1.4339620836293285,0.3099235132249393,0.5638673590181732,-0.33937807704558254
CCEP,0.7508769048142814,-0.13250754004203058,0.19646199860641433,-0.06515812631891335
CCI,0.8887815077266965,-0.08038541091418647,-0.05521782460905007,-0.11639629751937715
CCK,0.9401329586152806,0.10611664684379975,0.1986233476991497,-0.03685227214482477
CCL,1.3093097984243691,0.5748259700056575,0.4880619734153864,-0.47720151276674194
CCU,0.5456608870846291,0.08081621045105897,0.11980513414515091,-0.059351520901010466
CDNS,1.2227579734549987,0.056343211319890604,-0.42693537551637656,-0.00595061330110758
CDW,1.0784143697264534,0.1386788860757897,0.14942959744494339,-0.0035408714755675256
CFG,1.3429893368363115,0.4692470930999429,1.362394105971729,-0.15362523880240944
CHD,0.46425626029785305,-0.2246611070916566,-0.024163725048554123,0.1065249771390356
CHRW,0.7280077063972543,0.20234966629060602,0.1458307676764612,-0.03846652560339304
CHTR,0.7984371706917819,-0.027863189468410772,-0.08985950059050027,-0.11287223171928329
CI,0.9199920009185155,-0.2896439596440991,0.43884689467753946,0.027714939466225896
CIEN,1.3780542051265412,0.6346346027966585,-0.2787424460735872,-0.12478888075123215
CINF,0.9859090079671387,-0.2366125325122183,0.7105644763756748,-0.017329378434061835
CL,0.5310986244418112,-0.3685765373366052,0.04414125440558563,0.06581142173219108
CLF,1.5123920526377257,0.95618420701131,0.847342238974355,-0.14685979280692923
CLX,0.4147771106876683,-0.23533801911985958,-0.056585726496397724,0.061444828147069676
CMA,1.2253749512840424,0.34795191514810697,1.439676921775095,-0.2729187802240003
CMCSA,0.9714458858685562,-0.23400394175859068,0.16837470787803036,-0.08667951439227642
CME,0.9149523376573332,-0.24725425425335643,0.4024766849602843,0.025230229091955193
CMG,0.9193855601708275,0.26939328488346903,-0.31025339493672577,0.02787753505809057
CMI,1.1419743746500197,0.14177218196135086,0.48487082166501105,-0.07777900506843966
CMS,0.6062968581528354,-0.30990514970565985,0.20734913527537666,0.011414476227125266
CMVT,0.8836926770905301,0.22176793449924403,-0.9717801500612442,-0.20040128252240402
CNP,0.7334991110978231,-0.17578812765547513,0.4064424442159983,0.032918196483761104
CNX,1.0990713640075036,0.4152645688790354,0.723948897553198,-0.13269690827272046
COF,1.4349545350229183,-0.001183399948530773,0.9999445310591373,-0.31596090328986093
COO,0.7686091807653282,0.20185908088424592,-0.0561190120381071,-0.07773109569731562
COP,0.9979315364721699,0.0035389392283221577,0.910767642802418,0.04430573274435861
COR,0.6476193805669755,-0.06203654318538385,0.18126055163732802,0.1038812513904643
COST,0.7831005149164683,-0.23799735541867129,-0.21341102624014918,0.04840418557666141
