Date,risk_free_rate
2015-01-02,5.888888888888889e-05
2015-01-05,5.666666666666667e-05
2015-01-06,5.472222222222222e-05
2015-01-07,5.4444444444444446e-05
2015-01-08,5.638888888888888e-05
2015-01-09,5.4999999999999995e-05
2015-01-12,5.3333333333333326e-05
2015-01-13,5.305555555555555e-05
2015-01-14,5.166666666666667e-05
2015-01-15,4.9166666666666665e-05
2015-01-16,5.0833333333333333e-05
2015-01-20,5.055555555555556e-05
2015-01-21,5.1944444444444446e-05
2015-01-22,5.277777777777778e-05
2015-01-23,5.0277777777777784e-05
2015-01-26,5.0833333333333333e-05
2015-01-27,5.0833333333333333e-05
2015-01-28,4.805555555555555e-05
2015-01-29,4.9166666666666665e-05
2015-01-30,4.6666666666666665e-05
2015-02-02,4.6666666666666665e-05
2015-02-03,4.972222222222222e-05
2015-02-04,5.0277777777777784e-05
2015-02-05,5.0833333333333333e-05
2015-02-06,5.4166666666666664e-05
2015-02-09,5.4444444444444446e-05
2015-02-10,5.5833333333333326e-05
2015-02-11,5.555555555555556e-05
2015-02-12,5.5277777777777783e-05
2015-02-13,5.611111111111111e-05
2015-02-17,5.944444444444445e-05
2015-02-18,5.75e-05
2015-02-19,5.86111111111111e-05
2015-02-20,5.9166666666666664e-05
2015-02-23,5.722222222222222e-05
2015-02-24,5.5277777777777783e-05
2015-02-25,5.4444444444444446e-05
2015-02-26,5.638888888888888e-05
2015-02-27,5.555555555555556e-05
2015-03-02,5.7777777777777776e-05
2015-03-03,5.888888888888889e-05
2015-03-04,5.888888888888889e-05
2015-03-05,5.86111111111111e-05
2015-03-06,6.222222222222223e-05
2015-03-09,6.111111111111112e-05
2015-03-10,5.944444444444445e-05
2015-03-11,5.86111111111111e-05
2015-03-12,5.833333333333334e-05
2015-03-13,5.9166666666666664e-05
2015-03-16,5.833333333333334e-05
2015-03-17,5.722222222222222e-05
2015-03-18,5.361111111111111e-05
2015-03-19,5.4999999999999995e-05
2015-03-20,5.361111111111111e-05
2015-03-23,5.3333333333333326e-05
2015-03-24,5.2222222222222214e-05
2015-03-25,5.361111111111111e-05
2015-03-26,5.5833333333333326e-05
2015-03-27,5.4166666666666664e-05
2015-03-30,5.4444444444444446e-05
2015-03-31,5.388888888888889e-05
2015-04-01,5.1944444444444446e-05
2015-04-02,5.3333333333333326e-05
2015-04-03,5.1388888888888896e-05
2015-04-06,5.3333333333333326e-05
2015-04-07,5.25e-05
2015-04-08,5.3333333333333326e-05
2015-04-09,5.472222222222222e-05
2015-04-10,5.4444444444444446e-05
2015-04-13,5.388888888888889e-05
2015-04-14,5.277777777777778e-05
2015-04-15,5.305555555555555e-05
2015-04-16,5.277777777777778e-05
2015-04-17,5.1944444444444446e-05
2015-04-20,5.277777777777778e-05
2015-04-21,5.3333333333333326e-05
2015-04-22,5.5277777777777783e-05
2015-04-23,5.4444444444444446e-05
2015-04-24,5.361111111111111e-05
2015-04-27,5.388888888888889e-05
2015-04-28,5.555555555555556e-05
2015-04-29,5.722222222222222e-05
2015-04-30,5.694444444444444e-05
2015-05-01,5.888888888888889e-05
2015-05-04,6e-05
2015-05-05,6.083333333333333e-05
2015-05-06,6.25e-05
2015-05-07,6.055555555555556e-05
2015-05-08,6e-05
2015-05-11,6.333333333333333e-05
2015-05-12,6.333333333333333e-05
2015-05-13,6.305555555555556e-05
2015-05-14,6.194444444444445e-05
2015-05-15,5.944444444444445e-05
2015-05-18,6.194444444444445e-05
2015-05-19,6.305555555555556e-05
2015-05-20,6.277777777777777e-05
2015-05-21,6.083333333333333e-05
2015-05-22,6.138888888888889e-05
2015-05-26,5.944444444444445e-05
2015-05-27,5.944444444444445e-05
2015-05-28,5.9166666666666664e-05
2015-05-29,5.888888888888889e-05
2015-06-01,6.083333333333333e-05
2015-06-02,6.305555555555556e-05
2015-06-03,6.611111111111111e-05
2015-06-04,6.416666666666666e-05
2015-06-05,6.694444444444444e-05
2015-06-08,6.638888888888889e-05
2015-06-09,6.722222222222222e-05
2015-06-10,6.944444444444444e-05
2015-06-11,6.638888888888889e-05
2015-06-12,6.638888888888889e-05
2015-06-15,6.555555555555556e-05
2015-06-16,6.444444444444444e-05
2015-06-17,6.444444444444444e-05
2015-06-18,6.527777777777778e-05
2015-06-19,6.277777777777777e-05
2015-06-22,6.583333333333334e-05
2015-06-23,6.722222222222222e-05
2015-06-24,6.611111111111111e-05
2015-06-25,6.666666666666667e-05
2015-06-26,6.916666666666668e-05
2015-06-29,6.472222222222223e-05
2015-06-30,6.527777777777778e-05
2015-07-01,6.75e-05
2015-07-02,6.666666666666667e-05
2015-07-06,6.388888888888888e-05
2015-07-07,6.305555555555556e-05
2015-07-08,6.166666666666667e-05
2015-07-09,6.444444444444444e-05
2015-07-10,6.722222222222222e-05
2015-07-13,6.777777777777777e-05
2015-07-14,6.694444444444444e-05
2015-07-15,6.555555555555556e-05
2015-07-16,6.555555555555556e-05
2015-07-17,6.5e-05
2015-07-20,6.611111111111111e-05
2015-07-21,6.527777777777778e-05
2015-07-22,6.472222222222223e-05
2015-07-23,6.333333333333333e-05
2015-07-24,6.305555555555556e-05
2015-07-27,6.194444444444445e-05
2015-07-28,6.277777777777777e-05
2015-07-29,6.361111111111111e-05
2015-07-30,6.333333333333333e-05
2015-07-31,6.111111111111112e-05
2015-08-03,6e-05
2015-08-04,6.194444444444445e-05
2015-08-05,6.333333333333333e-05
2015-08-06,6.194444444444445e-05
2015-08-07,6.055555555555556e-05
2015-08-10,6.222222222222223e-05
2015-08-11,5.972222222222222e-05
2015-08-12,5.944444444444445e-05
2015-08-13,6.083333333333333e-05
2015-08-14,6.111111111111112e-05
2015-08-17,6e-05
2015-08-18,6.111111111111112e-05
2015-08-19,5.888888888888889e-05
2015-08-20,5.805555555555555e-05
2015-08-21,5.694444444444444e-05
2015-08-24,5.5833333333333326e-05
2015-08-25,5.888888888888889e-05
2015-08-26,6.055555555555556e-05
2015-08-27,6.055555555555556e-05
2015-08-28,6.083333333333333e-05
2015-08-31,6.138888888888889e-05
2015-09-01,6.0277777777777776e-05
2015-09-02,6.111111111111112e-05
2015-09-03,6.055555555555556e-05
2015-09-04,5.9166666666666664e-05
2015-09-08,6.111111111111112e-05
2015-09-09,6.138888888888889e-05
2015-09-10,6.194444444444445e-05
2015-09-11,6.111111111111112e-05
2015-09-14,6.055555555555556e-05
2015-09-15,6.333333333333333e-05
2015-09-16,6.388888888888888e-05
2015-09-17,6.138888888888889e-05
2015-09-18,5.9166666666666664e-05
2015-09-21,6.111111111111112e-05
2015-09-22,5.944444444444445e-05
2015-09-23,6e-05
2015-09-24,5.9166666666666664e-05
2015-09-25,6.0277777777777776e-05
2015-09-28,5.833333333333334e-05
2015-09-29,5.694444444444444e-05
2015-09-30,5.722222222222222e-05
2015-10-01,5.694444444444444e-05
2015-10-02,5.5277777777777783e-05
2015-10-05,5.75e-05
2015-10-06,5.694444444444444e-05
2015-10-07,5.7777777777777776e-05
2015-10-08,5.888888888888889e-05
2015-10-09,5.888888888888889e-05
2015-10-13,5.722222222222222e-05
2015-10-14,5.5277777777777783e-05
2015-10-15,5.666666666666667e-05
2015-10-16,5.666666666666667e-05
2015-10-19,5.666666666666667e-05
2015-10-20,5.7777777777777776e-05
2015-10-21,5.666666666666667e-05
2015-10-22,5.666666666666667e-05
2015-10-23,5.805555555555555e-05
2015-10-26,5.75e-05
2015-10-27,5.694444444444444e-05
2015-10-28,5.833333333333334e-05
2015-10-29,6.083333333333333e-05
2015-10-30,6e-05
2015-11-02,6.111111111111112e-05
2015-11-03,6.194444444444445e-05
2015-11-04,6.25e-05
2015-11-05,6.277777777777777e-05
2015-11-06,6.5e-05
2015-11-09,6.555555555555556e-05
2015-11-10,6.444444444444444e-05
2015-11-12,6.444444444444444e-05
2015-11-13,6.333333333333333e-05
2015-11-16,6.305555555555556e-05
2015-11-17,6.25e-05
2015-11-18,6.305555555555556e-05
2015-11-19,6.222222222222223e-05
2015-11-20,6.277777777777777e-05
2015-11-23,6.25e-05
2015-11-24,6.222222222222223e-05
2015-11-25,6.194444444444445e-05
2015-11-27,6.166666666666667e-05
2015-11-30,6.138888888888889e-05
2015-12-01,5.972222222222222e-05
2015-12-02,6.055555555555556e-05
2015-12-03,6.472222222222223e-05
2015-12-04,6.333333333333333e-05
2015-12-07,6.194444444444445e-05
2015-12-08,6.222222222222223e-05
2015-12-09,6.166666666666667e-05
2015-12-10,6.222222222222223e-05
2015-12-11,5.9166666666666664e-05
2015-12-14,6.194444444444445e-05
2015-12-15,6.333333333333333e-05
2015-12-16,6.388888888888888e-05
2015-12-17,6.222222222222223e-05
2015-12-18,6.083333333333333e-05
2015-12-21,6.111111111111112e-05
2015-12-22,6.222222222222223e-05
2015-12-23,6.305555555555556e-05
2015-12-24,6.25e-05
2015-12-28,6.222222222222223e-05
2015-12-29,6.444444444444444e-05
2015-12-30,6.416666666666666e-05
2015-12-31,6.305555555555556e-05
2016-01-04,6.222222222222223e-05
2016-01-05,6.25e-05
2016-01-06,6.055555555555556e-05
2016-01-07,6e-05
2016-01-08,5.9166666666666664e-05
2016-01-11,6.0277777777777776e-05
2016-01-12,5.888888888888889e-05
2016-01-13,5.7777777777777776e-05
2016-01-14,5.833333333333334e-05
2016-01-15,5.638888888888888e-05
2016-01-19,5.722222222222222e-05
2016-01-20,5.5833333333333326e-05
2016-01-21,5.611111111111111e-05
2016-01-22,5.75e-05
2016-01-25,5.638888888888888e-05
2016-01-26,5.5833333333333326e-05
2016-01-27,5.611111111111111e-05
2016-01-28,5.555555555555556e-05
2016-01-29,5.388888888888889e-05
2016-02-01,5.472222222222222e-05
2016-02-02,5.1944444444444446e-05
2016-02-03,5.2222222222222214e-05
2016-02-04,5.1944444444444446e-05
2016-02-05,5.166666666666667e-05
2016-02-08,4.8611111111111115e-05
2016-02-09,4.833333333333333e-05
2016-02-10,4.75e-05
2016-02-11,4.527777777777777e-05
2016-02-12,4.833333333333333e-05
2016-02-16,4.9444444444444446e-05
2016-02-17,5.0277777777777784e-05
2016-02-18,4.8611111111111115e-05
2016-02-19,4.888888888888889e-05
2016-02-22,4.9166666666666665e-05
2016-02-23,4.833333333333333e-05
2016-02-24,4.8611111111111115e-05
2016-02-25,4.75e-05
2016-02-26,4.888888888888889e-05
2016-02-29,4.833333333333333e-05
2016-03-01,5.0833333333333333e-05
2016-03-02,5.111111111111111e-05
2016-03-03,5.0833333333333333e-05
2016-03-04,5.2222222222222214e-05
2016-03-07,5.305555555555555e-05
2016-03-08,5.0833333333333333e-05
2016-03-09,5.277777777777778e-05
2016-03-10,5.361111111111111e-05
2016-03-11,5.4999999999999995e-05
2016-03-14,5.472222222222222e-05
2016-03-15,5.472222222222222e-05
2016-03-16,5.388888888888889e-05
2016-03-17,5.305555555555555e-05
2016-03-18,5.2222222222222214e-05
2016-03-21,5.3333333333333326e-05
2016-03-22,5.388888888888889e-05
2016-03-23,5.2222222222222214e-05
2016-03-24,5.305555555555555e-05
2016-03-28,5.25e-05
2016-03-29,5.0277777777777784e-05
2016-03-30,5.0833333333333333e-05
2016-03-31,4.9444444444444446e-05
2016-04-01,4.972222222222222e-05
2016-04-04,4.9444444444444446e-05
2016-04-05,4.805555555555555e-05
2016-04-06,4.888888888888889e-05
2016-04-07,4.722222222222223e-05
2016-04-08,4.777777777777778e-05
2016-04-11,4.805555555555555e-05
2016-04-12,4.972222222222222e-05
2016-04-13,4.9166666666666665e-05
2016-04-14,5.000000000000001e-05
2016-04-15,4.888888888888889e-05
2016-04-18,4.9444444444444446e-05
2016-04-19,4.972222222222222e-05
2016-04-20,5.1388888888888896e-05
2016-04-21,5.2222222222222214e-05
