,mega_companies,large_companies,mid_companies,small_companies,micro_companies
0,MSFT,ISRG,ASND,BGM,TATT
1,NVDA,ACN,CUBE,FBK,JELD
2,AAPL,T,DSGX,AIN,NFGC
3,AMZN,SHEL,BEPC,AGM-A,CZFS
4,GOOGL,MRK,GGAL,WGS,PHAT
5,META,AMD,WBA,BUSE,TBN
6,TSLA,VZ,ESTC,NBTB,QUAD
7,AVGO,PEP,KMX,NAMS,MVIS
8,BRK-B,RTX,GL,HUN,LPAA
9,TSM,BKNG,JHX,KYMR,ABEO
10,WMT,GS,DOCS,DNLI,NYXH
11,JPM,RY,RGC,MAN,CYRX
12,V,UBER,EPAM,EFSC,AMCX
13,LLY,ADBE,OVV,TPC,KCHV
14,MA,HDB,WING,HRMY,FSBW
15,NFLX,BX,CAVA,NATL,WEYS
16,ORCL,TXN,SARO,TWFG,LPBB
17,COST,SONY,SF,DFH,LVRO
18,XOM,CAT,QXO,OSW,AEHR
19,PG,PGR,QGEN,SEM,SFST
